Date,Time,Kills,Deaths,K/D,Total Kills,Total Deaths,Global K/D
7/4/19,8:16:57 PM,35,4,8.75,13248,6915,1.915835141
7/4/19,8:42:18 PM,17,5,3.4,13265,6920,1.916907514
7/4/19,9:08:25 PM,34,6,5.666666667,13299,6926,1.920155934
7/4/19,10:00:59 PM,16,14,1.142857143,13315,6940,1.918587896
7/4/19,10:01:07 PM,42,12,3.5,13357,6952,1.921317606
7/4/19,10:07:51 PM,29,10,1.526315789,13386,6962,1.922723355
7/4/19,10:49:46 PM,38,10,3.8,13424,6972,1.92541595
7/4/19,11:21:35 PM,42,14,3,13466,6986,1.927569425
7/4/19,11:44:20 PM,29,13,2.230769231,13495,6999,1.92813259
7/5/19,12:11:21 AM,20,5,4,13515,7004,1.92961165
7/5/19,12:54:04 AM,30,9,3.333333333,13545,7013,1.93141309